layer,feature,frac_external_raw,logit_influence
1,4273,1.0,0.7979094386100769
1,4919,1.0,0.706680953502655
1,5215,1.0,0.7553839683532715
1,5645,1.0,0.5933974981307983
1,7488,1.0,0.7600398659706116
1,8027,1.0,0.5959828495979309
1,8221,1.0,0.5385637879371643
1,9538,1.0,0.623140811920166
1,13009,1.0,0.5974451899528503
1,13374,1.0,0.7124308943748474
1,13502,1.0,0.6287143230438232
1,14474,1.0,0.7494747638702393
1,14975,1.0,0.7858280539512634
1,15537,1.0,0.6790256500244141
1,15621,1.0,0.7881704568862915
1,15725,1.0,0.7793776988983154
1,76,1.0,0.5789132714271545
1,185,1.0,0.7491653561592102
1,726,1.0,0.7291761636734009
1,1951,1.0,0.7709243297576904
1,2132,1.0,0.7919183373451233
1,3135,1.0,0.7960518598556519
1,7732,1.0,0.7541906833648682
1,9564,1.0,0.7932256460189819
1,10096,1.0,0.7916794419288635
1,14137,1.0,0.5580068826675415
1,15341,1.0,0.7786005735397339
1,15657,1.0,0.6990862488746643
1,15816,1.0,0.5996198654174805
1,508,1.0,0.789268434047699
1,1321,1.0,0.5453718304634094
1,1861,1.0,0.6423770785331726
1,2794,1.0,0.7513173818588257
