from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
arkansas_fayetteville,vermont_burlington,add_state_capital,0,0,6.562500,46,11,46,11,0.068380,0.013367,0.373812,0.370668
arkansas_fayetteville,virginia_virginia_beach,add_state_capital_city,0,0,19.222700,69,154,69,154,0.088696,0.204710,0.373812,0.381697
arkansas_fayetteville,washington_seattle,add_state_capital,0,1,15.156200,46,33,46,33,0.068380,0.063193,0.373812,0.391392
arkansas_fayetteville,west_virginia_huntington,add_capital_city,0,1,6.554700,60,84,60,84,0.079819,0.092989,0.373812,0.379138
arkansas_fayetteville,wisconsin_milwaukee,add_state_capital,0,1,11.046900,46,55,46,55,0.068380,0.093327,0.373812,0.370787
arkansas_fayetteville,wyoming_casper,add_city,0,1,16.953100,23,41,23,41,0.020316,0.037198,0.373812,0.366403
california_oakland,alabama_birmingham,add_state_capital,0,1,11.875000,37,36,37,36,0.069181,0.043793,0.373302,0.353255
california_oakland,alaska_anchorage,add_state_capital,0,1,10.875000,37,50,37,50,0.069181,0.081949,0.373302,0.365723
california_oakland,arizona_tucson,add_state_capital,0,1,17.730500,37,47,37,47,0.069181,0.089540,0.373302,0.365156
california_oakland,arkansas_fayetteville,add_capital_city,0,1,16.906200,52,60,52,60,0.073875,0.079819,0.373302,0.373812
california_oakland,california_oakland,add_city,0,1,0.000000,25,0,25,0,0.027616,0.000000,0.373302,0.373302
california_oakland,colorado_colorado_springs,add_state_capital_city,0,1,16.125000,62,163,62,163,0.096797,0.219939,0.373302,0.374099
california_oakland,connecticut_bridgeport,add_state_capital_city,0,1,22.750000,62,79,62,79,0.096797,0.107643,0.373302,0.364609
california_oakland,delaware_wilmington,add_state,0,0,17.156200,10,11,10,11,0.022923,0.011477,0.373302,0.379447
california_oakland,florida_miami,add_state,0,1,29.406200,10,9,10,9,0.022923,0.027887,0.373302,0.367858
california_oakland,georgia_savannah,add_capital,0,1,14.437500,27,31,27,31,0.046258,0.059224,0.373302,0.370304
california_oakland,hawaii_hilo,add_state_city,0,1,18.609400,35,57,35,57,0.050539,0.090558,0.373302,0.357737
california_oakland,idaho_idaho_falls,add_state,0,1,10.000000,10,37,10,37,0.022923,0.065915,0.373302,0.379189
california_oakland,illinois_chicago,add_state_capital,0,1,17.906200,37,42,37,42,0.069181,0.065123,0.373302,0.367203
california_oakland,indiana_fort_wayne,add_state_capital,0,1,16.875000,37,74,37,74,0.069181,0.093249,0.373302,0.391159
california_oakland,iowa_cedar_rapids,add_state,0,1,16.031200,10,10,10,10,0.022923,0.022024,0.373302,0.394939
california_oakland,kansas_wichita,add_state_capital,0,0,19.093800,37,63,37,63,0.069181,0.086975,0.373302,0.358014
california_oakland,kentucky_louisville,add_capital,0,1,12.625000,27,37,27,37,0.046258,0.062804,0.373302,0.370874
california_oakland,louisiana_new_orleans,add_state_capital,0,1,14.218800,37,49,37,49,0.069181,0.089234,0.373302,0.374783
california_oakland,maine_portland,add_state_capital,0,0,11.343700,37,41,37,41,0.069181,0.058790,0.373302,0.372282
