dataset,entity,G_Repl,S_Repl,G_Comp,S_Comp,n_nodes,n_features,n_error_nodes,n_embed_nodes,n_logit_nodes,n_features_pinned,n_features_total,pinned_fraction
usa_states_batch,vermont_Burlington,0.6963992214631248,0.6689081776236958,0.8917950370834637,0.8771473509776092,373,277,77,9,10,263,277,0.9494584837545126
usa_states_batch,virginia_virginia_beach,0.7311693585953158,0.7105023424906611,0.9092338622063079,0.8994128251061545,423,322,81,10,10,309,322,0.9596273291925466
usa_states_batch,washington_Seattle,0.7112414103233953,0.7006786857170645,0.9003913609082876,0.8951911717106135,328,243,66,9,10,235,243,0.9670781893004116
usa_states_batch,west_virginia_huntington,0.7018256849724365,0.6810743990788722,0.8959477140077956,0.8853153006206335,377,284,74,9,10,275,284,0.9683098591549296
usa_states_batch,wisconsin_Milwaukee,0.731667816676385,0.7175751008664112,0.906540879992845,0.8997005625534656,351,261,71,9,10,251,261,0.9616858237547893
usa_states_batch,wyoming_Casper,0.6889163491081136,0.6626595853962491,0.8893143321302247,0.8752160916528106,379,283,77,9,10,271,283,0.9575971731448764
book_characters_authors_batch,anna_karenina,0.686287606960133,0.6304151343066805,0.8962531069753178,0.8669431834811465,536,428,88,10,10,412,428,0.9626168224299065
book_characters_authors_batch,atticus_finch,0.722811274163077,0.6962025466708943,0.9104739078095955,0.8981297187657336,467,364,83,10,10,359,364,0.9862637362637363
book_characters_authors_batch,captain_ahab,0.7156863105201382,0.6858774406757798,0.9068603551221197,0.8926227875351146,458,365,73,10,10,350,365,0.958904109589041
book_characters_authors_batch,don_quixote,0.7614013993388858,0.7541220207374831,0.9200872068372657,0.9168542410891067,343,257,67,9,10,256,257,0.9961089494163424
book_characters_authors_batch,dracula,0.7592726099070725,0.7566504605186948,0.9204909029435809,0.9193463037280771,390,302,69,9,10,300,302,0.9933774834437086
book_characters_authors_batch,ebenezer_scrooge,0.7649470933959218,0.7470684968511603,0.9260068362628697,0.918473298457916,379,297,63,9,10,295,297,0.9932659932659933
book_characters_authors_batch,edmond_dantes,0.6639457040616612,0.6279554098201856,0.8887092186672896,0.8697287762627043,488,386,82,10,10,381,386,0.9870466321243523
book_characters_authors_batch,elizabeth_bennet,0.7363240234336962,0.7363240234336962,0.9147861818010071,0.9147861818010071,395,303,73,9,10,303,303,1.0
