from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
jean_valjean,emma_bovary,add_author,0,1,8.000000,39,51,39,51,0.035536,0.066259,0.385766,0.412386
jean_valjean,frodo_baggins,add_book,0,1,20.921900,26,34,26,34,0.047902,0.080611,0.385766,0.413307
jean_valjean,gregor_samsa,add_book,0,0,18.877900,26,20,26,20,0.047902,0.027791,0.385766,0.395718
jean_valjean,huckleberry_finn,add_character_book_author,0,1,17.007800,165,305,165,305,0.169343,0.303928,0.385766,0.385867
jean_valjean,jay_gatsby,add_character,0,1,22.531200,100,76,100,76,0.085904,0.110476,0.385766,0.413165
jean_valjean,jean_valjean,add_author,0,1,0.000000,39,0,39,0,0.035536,0.000000,0.385766,0.385766
jean_valjean,katniss_everdeen,add_book_author,0,1,17.296900,65,63,65,63,0.083439,0.104807,0.385766,0.397431
jean_valjean,raskolnikov,add_character_book,0,1,9.828100,126,105,126,105,0.133807,0.099829,0.385766,0.374571
jean_valjean,winston_smith,add_book,0,1,18.312500,26,19,26,19,0.047902,0.066463,0.385766,0.402036
katniss_everdeen,atticus_finch,add_book_author,0,1,25.531200,63,68,63,68,0.104807,0.108991,0.397431,0.402358
katniss_everdeen,captain_ahab,add_book,0,1,27.937500,20,29,20,29,0.055459,0.066373,0.397431,0.399964
katniss_everdeen,dracula,add_character_book_author,0,0,16.593700,118,180,118,180,0.150417,0.252736,0.397431,0.392970
katniss_everdeen,ebenezer_scrooge,add_book_author,1,1,26.156200,0,134,63,71,0.104807,0.149134,0.397431,0.414550
katniss_everdeen,edmond_dantes,add_book_author,0,0,17.294900,63,67,63,67,0.104807,0.089070,0.397431,0.410286
katniss_everdeen,elizabeth_bennet,add_book,0,1,15.906200,20,20,20,20,0.055459,0.043584,0.397431,0.401960
katniss_everdeen,emma_bovary,add_author,0,1,17.703100,43,51,43,51,0.049349,0.066259,0.397431,0.412386
katniss_everdeen,frodo_baggins,add_book,0,0,22.750000,20,34,20,34,0.055459,0.080611,0.397431,0.413307
katniss_everdeen,gregor_samsa,add_book,0,0,23.593800,20,20,20,20,0.055459,0.027791,0.397431,0.395718
katniss_everdeen,huckleberry_finn,add_character_book,0,0,27.375000,75,260,75,260,0.101068,0.251442,0.397431,0.385867
katniss_everdeen,jay_gatsby,add_character_book,0,1,31.687500,75,151,75,151,0.101068,0.222988,0.397431,0.413165
katniss_everdeen,jean_valjean,add_book,0,1,18.562500,20,26,20,26,0.055459,0.047902,0.397431,0.385766
katniss_everdeen,katniss_everdeen,add_author,0,1,0.000000,43,0,43,0,0.049349,0.000000,0.397431,0.397431
katniss_everdeen,raskolnikov,add_book,0,0,25.171900,20,26,20,26,0.055459,0.049057,0.397431,0.374571
katniss_everdeen,winston_smith,add_book,0,1,24.875000,20,19,20,19,0.055459,0.066463,0.397431,0.402036
raskolnikov,atticus_finch,add_book_author,0,1,20.906200,38,68,38,68,0.062480,0.108991,0.374571,0.402358
raskolnikov,captain_ahab,add_book,0,1,22.099600,26,29,26,29,0.049057,0.066373,0.374571,0.399964
raskolnikov,dracula,add_character_book_author,0,0,14.882800,117,180,117,180,0.113252,0.252736,0.374571,0.392970
raskolnikov,ebenezer_scrooge,add_book_author,1,1,25.968800,0,109,38,71,0.062480,0.149134,0.374571,0.414550
