from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
starry_night,guernica,0,-0.25,277,2,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_guernica__r1.json
starry_night,nighthawks,0,1.0,126,1,0,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_nighthawks__r1.json
starry_night,persistence_of_memory,0,1.0,145,1,1,0,D,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_persistence_of_memory__r0.json
starry_night,the_scream,0,1.0,78,1,1,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_the_scream__r2.json
starry_night,water_lilies,0,3.6875,21,1,1,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/starry_night/to_water_lilies__r0.json
the_scream,birth_of_venus,0,1.375,4693,1,1,1,A,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_birth_of_venus__r0.json
the_scream,campbells_soup,0,-0.5625,651,2,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_campbells_soup__r1.json
the_scream,girl_pearl_earring,0,1.375,52,1,1,1,E,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_girl_pearl_earring__r2.json
the_scream,grande_jatte,0,0.125,187,1,1,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_grande_jatte__r0.json
the_scream,guernica,0,-0.375,651,2,1,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_guernica__r0.json
the_scream,nighthawks,0,2.5,4,1,0,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_nighthawks__r0.json
the_scream,persistence_of_memory,0,1.875,284,1,1,1,C,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_persistence_of_memory__r2.json
the_scream,starry_night,0,2.5078,63,1,0,0,D,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_starry_night__r2.json
the_scream,water_lilies,0,-0.375,430,2,0,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/the_scream/to_water_lilies__r0.json
water_lilies,birth_of_venus,0,5.9375,948,1,1,1,A,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_birth_of_venus__r1.json
water_lilies,campbells_soup,0,-0.1875,329,2,0,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_campbells_soup__r1.json
water_lilies,girl_pearl_earring,0,3.625,165,1,1,1,C,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_girl_pearl_earring__r0.json
water_lilies,grande_jatte,0,0.625,22,1,1,1,C,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_grande_jatte__r1.json
water_lilies,guernica,0,-0.375,123,2,1,1,E,r0,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_guernica__r0.json
water_lilies,nighthawks,0,1.4688,520,1,0,1,D,r2,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_nighthawks__r2.json
water_lilies,persistence_of_memory,0,0.5625,886,1,1,0,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_persistence_of_memory__r1.json
water_lilies,starry_night,0,5.25,53,1,1,1,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_starry_night__r1.json
water_lilies,the_scream,0,3.875,436,1,0,0,D,r1,default,20,output/paintings_painters_batch/_swaps/runs/fullscale_paintings_random/by_source/water_lilies/to_the_scream__r1.json
