from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
twitter,oculus,0,-1.6875,274,2,0,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_oculus__r0.json
twitter,oracle_db,0,0.5,178,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_oracle_db__r2.json
twitter,windows,0,2.7344,545,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_windows__r2.json
twitter,wordpress,0,-1.8125,265,4,1,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/twitter/to_wordpress__r1.json
windows,alibaba,0,-0.3125,316,2,1,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_alibaba__r0.json
windows,dell_xps,0,3.0937,21,1,1,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_dell_xps__r0.json
windows,dyson,0,3.0,122,1,1,1,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_dyson__r1.json
windows,facebook,0,2.0625,62,1,1,1,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_facebook__r0.json
windows,iphone,0,2.5,8,1,0,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_iphone__r0.json
windows,model_s,1,,,,1,0,,r0,m_tuned,2.402249,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_model_s__r0__m_tuned.json
windows,nike_shoes,0,2.0,301,1,1,1,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_nike_shoes__r2.json
windows,oculus,0,-2.625,1523,5,1,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_oculus__r1.json
windows,oracle_db,0,0.4374,41,1,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_oracle_db__r2.json
windows,twitter,0,-0.1875,316,2,1,0,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_twitter__r2.json
windows,wordpress,0,0.6875,991,1,1,1,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/windows/to_wordpress__r0.json
wordpress,alibaba,0,0.5312,2622,1,1,1,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_alibaba__r0.json
wordpress,dell_xps,0,0.9843,29,1,1,1,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_dell_xps__r2.json
wordpress,dyson,0,0.25,442,1,1,1,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_dyson__r0.json
wordpress,facebook,0,2.7813,53,1,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_facebook__r2.json
wordpress,iphone,0,1.375,775,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_iphone__r0.json
wordpress,model_s,1,,,,1,0,,r2,m_tuned,6.931448,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_model_s__r2__m_tuned.json
wordpress,nike_shoes,0,-0.9375,597,4,1,0,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_nike_shoes__r2.json
wordpress,oculus,0,-3.4375,32486,3,1,1,,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_oculus__r2.json
wordpress,oracle_db,0,-0.3125,1424,2,1,1,A,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_oracle_db__r2.json
wordpress,twitter,0,0.5,2622,1,1,1,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_twitter__r0.json
wordpress,windows,0,3.875,1903,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/wordpress/to_windows__r0.json
