domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,ebenezer_scrooge,emma_bovary,0,10,12,0.079222,0.066259,0.0830252766609189,0.0681196451187128,10,12,0,,0,0,,,1,5.3125,0.0,-1.375,-1.0833,add_author,0,0,11.0625,45,51,0.079222,0.066259
books,ebenezer_scrooge,frodo_baggins,0,9,11,0.069912,0.080611,0.07604464888572669,0.0837748646736137,9,11,0,,0,0,,,1,6.1875,0.0,3.1875,4.3542,add_book,0,0,22.4531,26,34,0.069912,0.080611
books,ebenezer_scrooge,gregor_samsa,0,9,4,0.069912,0.027791,0.07604464888572669,0.032445430755615005,9,4,0,,0,0,,,1,3.125,0.0,-4.0,-2.6875,add_book,0,0,19.9531,26,20,0.069912,0.027791
books,ebenezer_scrooge,huckleberry_finn,0,57,234,0.21293,0.303928,0.21325302124023215,0.3040604293346292,57,234,0,,0,0,,,1,-0.1875,0.0,1.75,2.4167,add_character_book_author,1,1,12.375,0,441,0.21293,0.303928
books,ebenezer_scrooge,jay_gatsby,0,22,35,0.143019,0.182899,0.1440510749816886,0.18355441093444644,22,35,0,,0,0,,,1,11.25,0.0,3.75,5.875,add_character_author,0,1,16.6094,110,122,0.143019,0.182899
books,ebenezer_scrooge,jean_valjean,0,9,6,0.069912,0.047902,0.07604464888572669,0.048280835151671996,9,6,0,,0,0,,,1,3.8125,0.0,1.375,1.75,add_book,0,1,11.3125,26,26,0.069912,0.047902
books,ebenezer_scrooge,katniss_everdeen,0,24,16,0.149134,0.104807,0.1502445340156546,0.10726243257522512,24,16,0,,0,0,,,0,19.3359,0.0,6.3125,7.6042,add_book_author,0,1,30.8125,71,63,0.149134,0.104807
books,ebenezer_scrooge,raskolnikov,0,24,8,0.149134,0.06248,0.1502445340156546,0.0639255046844478,24,8,0,,0,0,,,1,-0.5625,0.0,-4.0,-3.7083,add_book_author,0,0,17.5625,71,38,0.149134,0.06248
books,ebenezer_scrooge,winston_smith,0,24,14,0.149134,0.108922,0.1502445340156546,0.108959257602691,24,14,0,,0,0,,,1,14.1562,0.0,5.375,6.875,add_book_author,0,1,19.8906,71,52,0.149134,0.108922
books,edmond_dantes,atticus_finch,0,15,19,0.08907,0.108991,0.08945497870445172,0.11148107051849247,15,19,0,,0,0,,,1,6.875,0.0,1.125,2.25,add_book_author,0,1,29.0625,67,68,0.08907,0.108991
books,edmond_dantes,captain_ahab,0,15,20,0.08907,0.103688,0.08945497870445172,0.10613948106765658,15,20,0,,0,0,,,1,3.0625,0.0,-1.5,-1.0833,add_book_author,0,1,21.7578,67,58,0.08907,0.103688
books,edmond_dantes,dracula,0,59,116,0.17302,0.252736,0.17304772138595292,0.25345534086226884,59,116,0,,0,0,,,1,12.5,0.0,3.3125,4.1458,add_character_book_author,0,0,18.6563,177,180,0.17302,0.252736
books,edmond_dantes,ebenezer_scrooge,0,2,9,0.015065,0.069912,0.0186643600463866,0.07604464888572669,2,9,0,,0,0,,,1,7.9375,0.0,2.375,3.7917,add_book,0,1,14.3125,15,26,0.015065,0.069912
books,edmond_dantes,edmond_dantes,1,2,0,0.015065,0.0,0.0186643600463866,0.0,2,0,1,,1,0,,,0,0.0,0.0,1.375,3.375,add_book,0,1,0.0,15,0,0.015065,0.0
books,edmond_dantes,elizabeth_bennet,0,15,12,0.08907,0.089048,0.08945497870445172,0.09336459636688169,15,12,0,,0,0,,,1,13.5625,0.0,1.375,2.5625,add_book_author,0,1,14.0938,67,51,0.08907,0.089048
books,edmond_dantes,emma_bovary,0,12,12,0.074005,0.066259,0.07772061228752071,0.0681196451187128,12,12,0,,0,0,,,1,3.625,0.0,-2.125,-0.6667,add_author,0,1,9.8125,52,51,0.074005,0.066259
